33822,22097,5428
33823,22098,5428
33824,22099,5428
33825,22100,5428
33826,22101,5428
33827,22102,5428
33828,22103,5428
33829,22104,5428
33831,22106,5428
33833,22108,5428
33835,22110,5428
33837,22112,5428
33838,22113,5428
33839,22114,5428
33841,22116,5428
33842,22117,5428
33843,22118,5428
33844,22119,5428
33847,22122,5428
33848,22123,5428
33853,22128,5428
33858,22133,5428
33864,22139,5428
33872,22147,5428
33876,22151,5428
33879,22154,5428
33880,22155,5428
33885,22160,5428
33886,22161,5428
33889,22164,5428
33891,22166,5428
33892,22167,5428
